"image-wrapper href","lazyloaded src","product-discount","d-flex href 2","col-12","col-12 href","col-12 2","product-price-not-discounted","product-price","w-100 href","d-none","lazyloading src","out-of-stock"
"https://www.cnc-marketi.com/urun/cnc-router-1600x1100x220-m002","https://cncmarketi.tsoftstatic.com/uruncnc-router-1600x1100x220-m002-9672-56-O.png","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/565/e3cd8e3cb7951bfc4d39f472b9e7ad749084b2018f67a0816384f0828a9f87d0deefd7c2cb1641fc339ea69c2e29c3a9","Promertech","https://www.cnc-marketi.com/mrk","Cnc Router 1600X1100x220 M002","210.000,00","210.000,00","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/cnc-router-2500x1400x220-2-2-m002","https://cncmarketi.tsoftstatic.com/uruncnc-router-2500x1400x220-2-2-m002-9673-56-O.png","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/566/ec95c021ab29012b1c415bd211aa6b8e7128ea9081799406ff996b9e68f3a2fc85b2d7aa12050bf75dd74c74dd99dbac","Promertech","https://www.cnc-marketi.com/mrk","Cnc Router 2500X1400x220 M002","228.000,00","228.000,00","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/cnc-router-2500x1400x220-m0","https://cncmarketi.tsoftstatic.com/uruncnc-router-2500x1400x220-m0-9674-56-O.png","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/567/0da6ea06abeee2274388015733a033c38e3895d44be67ba0529f2966094e54adce09d265a8be66f33b68dca8c68ce1f2","Promertech","https://www.cnc-marketi.com/mrk","Cnc Router 2500X1400x220 M002","264.000,00","264.000,00","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/cnc-router-4000x1600","https://cncmarketi.tsoftstatic.com/uruncnc-router-4000x1600-9675-56-O.png","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/568/b04e52ea228fbd6fa2223838738dd8b6373d04b7d4a107e9e5185cbd4b91ed33adc7564a50d452720759947c909f0a25","Promertech Teknoloji","https://www.cnc-marketi.com/promertech-teknoloji","Cnc Router 4000x1600","385.106,70","385.106,70","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/cnc-router-4000x2100","https://cncmarketi.tsoftstatic.com/uruncnc-router-4000x2100-9676-56-O.png","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/569/9ed67a7d464ae5211efbe2781eb628c21c7c81553945670a6cdb8ded3224472803a63b67f7f05f799938b557879288ff","Promertech Teknoloji","https://www.cnc-marketi.com/promertech-teknoloji","Cnc Router 4000x2100","537.042,00","537.042,00","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/cnc-router-5000x2100","https://cncmarketi.tsoftstatic.com/uruncnc-router-5000x2100-9677-57-O.png","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/570/f721d7962a87692466aa2e25ad3f5ae1d38653bfc4e3bc3199f8c5c827e1f7632fc5eca8546dd4b38d099dcf9289c04e","Promertech Teknoloji","https://www.cnc-marketi.com/promertech-teknoloji","Cnc Router 5000x2100","523.446,00","523.446,00","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/cnc-router-6000x2100","https://cncmarketi.tsoftstatic.com/uruncnc-router-6000x2100-9678-57-O.png","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/571/9163214b7d24607c334e369c9bea51dc843637a5860c6ccaeecf5b46fc6f8d79acf8573d665002914f378f764b39dcda","Promertech Teknoloji","https://www.cnc-marketi.com/promertech-teknoloji","Cnc Router 6000x2100","528.000,00","528.000,00","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/cnc-router-860x780-smc-4","https://cncmarketi.tsoftstatic.com/uruncnc-router-860x780-smc-4-9679-57-O.png","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/572/098f57386b0aded2d1dfadb073d52109aa7047623fe8d74c99c2b4a7a23ee48c7dc59eed9d81e9e83f54a49c198b2ead","Promertech","https://www.cnc-marketi.com/mrk","Cnc Router 860X780 SMC 4","187.200,00","187.200,00","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/cnc-router-kare-kizak-2700-x-1100","https://cncmarketi.tsoftstatic.com/uruncnc-router-kare-kizak-2700-x-1100-9680-57-O.png","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/573/83cb425bd38488b5a1f188a0287ef2e4d51998ad5a6c0be2db207428fdcb530ba1f0cc880cb41484caa95245f8ddca8c","Promertech Teknoloji","https://www.cnc-marketi.com/promertech-teknoloji","Cnc Router Kare Kızak 2500 X 1100","154.042,68","154.042,68","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/engraving-ve-yazi-ucu-bicagi-freze-6x22x60-derece","https://cncmarketi.tsoftstatic.com/urunengraving-ve-yazi-ucu-bicagi-freze-6x22x60-derece-9713-60-O.png","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/604/958f5c84c0a61b2ec761d74620d03a3c9c31c6bbbf8596df02ac12ff3030a7536f3772250cae7b622f8ebd7e1a945ee4","Cnc Router Bıçakları","https://www.cnc-marketi.com/cnc-router-bicaklari","Engraving ve Yazı Ucu Bıçağı Freze 6x22x60 Derece","352,51","215,03","javascript:void(0);","Sepete Ekle","",""
